Year,Armagh,sheffield,rochespoint,phoenixpark,Markree
2015,-2,-0.5,0.7,-1.6,2.7
2015,0.2,-1,2.6,-0.1,1
2015,-2.4,2.7,2.6,0,0.9
2015,3,1.1,4.8,-0.1,0.8
2015,-1.5,-2.2,0.9,2.4,2.1
2015,-2.1,-1.4,3,2.8,-0.1
2015,3.3,-5.7,3.7,0,2.6
2015,1.7,-6.6,2.1,0.6,0.4
2015,-3.4,-3.1,-2.1,-0.6,1.4
2015,0.9,0.5,1.4,-1,2
2015,0.1,-2.5,1,0.5,3.3
2015,1.2,-0.6,1.4,0.8,1.1
2015,-0.4,-1.6,1.8,-1.5,0.3
2015,-1.2,-1.2,2,-0.3,1.8
2015,-0.2,1,2.8,-0.7,2.2
2015,1.3,3.4,1.2,2.3,2
2015,3,0.5,1.2,-3,2.4
2016,1.4,9.1,0.7,-2.5,4.6
2016,-1,5.6,2.5,-1.5,0
2016,-0.4,1.9,4.3,-0.4,0.6
2016,-1.2,1.4,4.4,1,0.8
2016,-3.7,-2.2,5.2,2.2,-1.6
2016,-1.3,-4.4,3.5,-0.3,-1.7
2016,0.7,1.8,3.8,2.3,2.7
2016,0.6,1.2,6.1,-1,1
2016,0.8,0.7,3.5,-0.9,0.5
2016,-2.6,2.1,1.5,1.3,0.2
2016,3.5,3.1,3.9,1.6,0.5
2016,3,4.9,2.5,1,5.2
2016,1.6,4.3,1.9,0.4,-0.5
2016,-2.7,1,0.8,-0.2,-0.4
2016,5,2.2,0.2,-0.3,2.1
2016,-2.3,-0.2,-1.7,-0.3,0.6
2016,-1,-0.7,-0.4,-1,1.6
2016,0.5,1.3,3.2,0.2,2.5
2016,-0.5,-1.3,2.1,-0.3,0
2016,0.3,-3,0,-0.6,3.6
2016,0.1,-2.6,2.7,-0.1,1.4
2016,-0.4,-2.9,2.3,2.3,2.1
2016,3.5,-0.2,3.7,0.3,2.7
2016,0.5,-1.3,0,4.3,1.3
2016,-0.9,-2.7,-0.1,3.2,2.5
2016,2,0.8,-3.4,3.8,1.6
2016,2.8,0.1,-0.7,6.2,2.9
2016,2.3,-0.7,0,-3.2,1.9
2016,2.8,-0.3,-0.5,0.3,3.7
2016,-0.7,-3.5,-0.2,-1.4,0.5
2016,-1.3,-1.4,-0.1,0.9,1.9
